Index,,Listed Name,,,,,Description,,Quantity,,,Unit Price($),,Extended Price($),,Product Link
1,,0.91 inch OLED Module White/Blue OLED 128X32 OLED LCD LED Display Module 0.91,,,,,OLED Sceen,,1,,,$2.34 ,,$2.34 ,,https://www.aliexpress.us/item/3256806165075447.html?spm=a2g0n.shopcart.0.0.6bb438dasMdfve&mp=1&gatewayAdapt=glo2usa
2,,SK6812 5V MINI-E Similar to WS2812B SK6812 RGB 3228 SMD LED Chip Reverse Mount Smart Pixel Individually Addressable Full Color,,,,,LED,,10,,,$0.31 ,,$3.12 ,,"https://www.aliexpress.us/item/3256805154503907.html?spm=a2g0o.productlist.main.1.6cf34S4C4S4CQh&algo_pvid=680470ba-784d-4480-8dcf-fcabc9a5b88d&algo_exp_id=680470ba-784d-4480-8dcf-fcabc9a5b88d-0&pdp_ext_f=%7B""order""%3A""82""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%217.74%216.27%21%21%2153.48%2143.32%21%402103129f17696546077478494efb3a%2112000032670306834%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4952f6a3%3Bm03_new_user%3A-29895&curPageLogUid=ldJKY0mhXF4K&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005340818659%7C_p_origin_prod%3A"
3,,Original Cherry MX Mechanical Keyboard Switch Speed silent pink axis mute red shaft RGB SMD 3 pin switch,,,,,Cherry Switch,,8,,,$1.14 ,,$9.08 ,,https://www.aliexpress.us/item/3256801835610798.html?spm=a2g0n.shopcart.0.0.6bb438dasMdfve&mp=1&gatewayAdapt=glo2usa
4,,CD 10PCS Blank 1u Keycaps XDA Keycap Custom DIY Supplement Key caps PBT Key cap for Cherry MX Switch Mechanical Keyboard Caps,,,,,Key Cap,,10,,,$0.76 ,,$7.63 ,,"https://www.aliexpress.us/item/3256808218107778.html?spm=a2g0o.productlist.main.4.7ec86ac5MMsvtA&algo_pvid=d7901927-41c4-4ad5-926f-6b4e477ee3c9&algo_exp_id=d7901927-41c4-4ad5-926f-6b4e477ee3c9-3&pdp_ext_f=%7B""order""%3A""155""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%217.65%210.99%21%21%2152.95%216.84%21%40210311a017688605086996194ef6c9%2112000044898140069%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4952f6a3%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352209&curPageLogUid=UvUgKHCIEz1e&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008404422530%7C_p_origin_prod%3A"
5,, EC11 Rotary Encoder Code Switch/EC11/Audio Digital Potentiometer With Switch 5Pins Handle Length 20mm,,,,,Rotary Encoder,,1,,,$3.04 ,,$3.04 ,,"https://www.aliexpress.us/item/3256809532531913.html?spm=a2g0o.productlist.main.26.6c2624fdnfKzAd&algo_pvid=32122907-2658-49e2-a8ac-5a591e44bb24&algo_exp_id=32122907-2658-49e2-a8ac-5a591e44bb24-25&pdp_ext_f=%7B""order""%3A""33""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%213.04%210.99%21%21%2121.07%216.87%21%402101e07217688610046812647efabf%2112000049942430336%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4952f6a3%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847434&curPageLogUid=ogmCtOdtmepU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009718846665%7C_p_origin_prod%3A"
6,,RP2040-Zero RP2040 for Raspberry Pi Microcontroller PICO Development Board Module Dual-core Cortex M0 Processor 2MB Flash,,,,,Microcontroller,,1,,,$3.39 ,,$3.39 ,,https://www.aliexpress.us/item/3256806637247373.html?spm=a2g0n.shopcart.0.0.6bb438dasMdfve&mp=1&gatewayAdapt=glo2usa
7,,"20pcs 1W Carbon Film Resistor 5% 0.1R ~ 4.7M 10R 100R 220R 330R 470R 1K 2.2K 3.3K 4.7K 10K 22K 47K 100K 1M 10 100 220 330 470ohm
",,,,,330 Resistor,,20,,,$0.04 ,,$0.89 ,,"https://www.aliexpress.us/item/3256807143973289.html?spm=a2g0o.productlist.main.16.4a0a2a0dkUXYVo&aem_p4p_detail=202603062036035586887902335800000735191&algo_pvid=1b504b83-3187-44ab-88bd-da75738fd0d2&algo_exp_id=1b504b83-3187-44ab-88bd-da75738fd0d2-15&pdp_ext_f=%7B""order""%3A""572""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%210.89%210.80%21%21%216.12%215.51%21%4021030a6217728581632841916e596d%2112000040294719795%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab62f9826%3Bm03_new_user%3A-29895&curPageLogUid=7HRzaEVFd9T7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007330288041%7C_p_origin_prod%3A&search_p4p_id=202603062036035586887902335800000735191_5"
8,,PCB,,,,,PCB,,1,,,$TBD,,$TBD,,
,,,,,,,,,,,,,,Total Price($),,
,,,,,,,,,,,,,,$29.49 ,,
